<13,15>,300
<13,16>,500
<13,17>,300
<13,18>,500
<13,19>,300
<13,20>,100
<13,21>,500
<13,22>,400
<13,23>,400
<13,24>,500
<14,15>,400
<14,16>,200
<14,17>,300
<14,18>,200
<14,19>,400
<14,20>,200
<14,21>,400
<14,22>,400
<14,23>,200
<14,24>,400
<15,16>,500
<15,17>,500
<15,18>,200
<15,19>,300
<15,20>,100
<15,21>,200
<15,22>,500
<15,23>,500
<15,24>,400
<16,17>,100
<16,18>,500
<16,19>,500
<16,20>,300
<16,21>,400
<16,22>,500
<16,23>,200
<16,24>,500
<17,18>,400
<17,19>,400
<17,20>,500
<17,21>,400
<17,22>,400
<17,23>,400
<17,24>,500
<18,19>,300
<18,20>,100
<18,21>,300
<18,22>,200
<18,23>,400
<19,20>,500
<19,21>,300
<19,22>,100
<19,23>,200
<19,24>,200
<20,21>,400
<20,22>,500
<20,23>,400
<20,24>,300
<21,22>,200
<21,23>,500
<21,24>,500
<22,23>,100
<22,24>,300
<23,24>,300]
[[<0,1>,[0],[1,3],[1,10,6,2],[1,10,8,4,2],[1,11,14,6,2],[1,11,14,8,4,2],[1,10,8,7,5,2],[1,10,13,9,5,2],[1,10,13,9,7,4,2],[1,11,14,8,7,5,2],[1,11,16,15,13,6,2],[1,12,17,14,6,2],[1,11,16,15,9,5,2],[1,11,16,15,13,8,4,2],[1,11,16,15,9,7,4,2],[1,12,17,14,8,4,2],[1,11,14,13,9,5,2],[1,11,14,13,9,7,4,2],[1,12,21,18,14,6,2],[1,12,21,18,14,8,4,2],[1,10,14,16,15,9,5,2],[1,10,14,16,15,9,7,4,2],[1,11,16,15,13,8,7,5,2],[1,11,16,15,9,7,8,6,2],[1,12,17,14,8,7,5,2],[1,11,18,24,19,15,13,6,2],[1,11,18,24,19,15,9,5,2],[1,11,18,24,19,15,13,8,4,2],[1,11,18,24,19,15,9,7,4,2],[1,12,17,16,15,13,6,2]],
[<0,2>,[0,2],[1,10,6],[1,3,2],[1,10,8,4],[0,3,10,6],[0,3,10,8,4],[1,11,14,6],[1,11,14,8,4],[1,10,8,7,5],[0,3,11,14,6],[0,3,11,14,8,4],[1,10,13,9,5],[0,3,10,8,7,5],[1,10,13,9,7,4],[1,11,14,8,7,5],[0,3,10,13,9,5],[0,3,10,13,9,7,4],[1,11,16,15,13,6],[1,12,17,14,6],[1,11,16,15,9,5],[1,11,16,15,13,8,4],[1,11,16,15,9,7,4],[1,12,17,14,8,4],[1,11,14,13,9,5],[0,3,11,14,8,7,5],[1,11,14,13,9,7,4],[1,12,21,18,14,6],[1,12,21,18,14,8,4],[0,3,11,16,15,13,6],[0,3,12,17,14,6]],
[<0,3>,[0,2,4],[1,10,8],[1,10,6,4],[1,3,2,4],[0,3,10,8],[0,2,5,7],[0,2,6,8],[0,3,10,6,4],[1,11,14,8],[1,11,14,6,4],[1,10,6,5,7],[0,3,11,14,8],[1,3,2,5,7],[1,3,2,6,8],[1,10,13,9,7],[0,3,11,14,6,4],[0,3,10,6,5,7],[1,10,13,9,5,4],[0,3,10,13,9,7],[1,11,14,6,5,7],[0,2,6,13,9,7],[0,2,5,9,13,8],[1,11,16,15,9,7],[1,11,16,15,13,8],[1,12,17,14,8],[1,11,14,13,9,7],[0,3,10,13,9,5,4],[1,11,16,15,13,6,4],[1,11,16,15,9,5,4],[1,12,17,14,6,4]],
[<0,4>,[0,2,5],[0,2,4,7],[1,10,8,7],[1,10,6,5],[1,3,2,5],[1,10,6,4,7],[1,10,8,4,5],[1,3,2,4,7],[1,10,13,9],[0,3,10,8,7],[0,2,6,8,7],[0,3,10,6,5],[0,3,10,6,4,7],[1,11,14,8,7],[0,3,10,8,4,5],[0,3,10,13,9],[1,11,14,6,5],[0,2,6,13,9],[1,11,14,6,4,7],[1,11,14,8,4,5],[1,11,16,15,9],[0,2,4,8,13,9],[1,11,14,13,9],[0,3,11,14,8,7],[1,3,2,6,8,7],[0,3,11,14,6,5],[0,3,11,14,6,4,7],[0,3,11,14,8,4,5],[0,3,11,16,15,9],[1,10,14,16,15,9]],
[<0,5>,[1],[0,3],[0,2,6,10],[0,2,4,8,10],[0,2,6,14,11],[0,2,4,8,14,11],[0,2,5,7,8,10],[0,2,5,9,13,10],[0,2,4,7,9,13,10],[0,2,5,7,8,14,11],[0,2,6,13,15,16,11],[0,2,6,14,17,12],[0,2,5,9,15,16,11],[0,2,4,8,13,15,16,11],[0,2,4,7,9,15,16,11],[0,2,4,8,14,17,12],[0,2,5,9,13,14,11],[0,2,4,7,9,13,14,11],[0,2,6,14,18,21,12],[0,2,4,8,14,18,21,12],[0,2,5,9,15,16,14,10],[0,2,4,7,9,15,16,14,10],[0,2,5,7,8,13,15,16,11],[0,2,5,7,8,14,17,12],[0,2,6,8,7,9,15,16,11],[0,2,6,13,15,19,24,18,11],[0,2,5,9,15,19,24,18,11],[0,2,4,8,13,15,19,24,18,11],[0,2,4,7,9,15,19,24,18,11],[0,2,6,13,15,16,17,12]],
[<0,6>,[1,10],[0,3,10],[0,2,6],[0,2,4,8],[1,11,14],[0,3,11,14],[1,3,2,6],[1,3,2,4,8],[0,2,5,7,8],[1,11,16,15,13],[0,2,5,9,13],[0,2,4,7,9,13],[1,12,17,14],[1,3,2,5,7,8],[1,12,21,18,14],[0,3,11,16,15,13],[0,3,12,17,14],[1,3,2,5,9,13],[1,3,2,4,7,9,13],[0,3,12,21,18,14],[1,11,16,15,9,7,8],[0,2,5,9,15,16,14],[0,2,4,7,9,15,16,14],[1,11,18,24,19,15,13],[1,11,16,15,9,5,6],[1,12,17,16,15,13],[1,11,16,15,9,7,4,6],[1,11,16,15,9,5,4,8],[0,3,11,16,15,9,7,8],[1,12,21,24,19,16,14]],
[<0,7>,[1,10,13],[0,3,10,13],[0,2,6,13],[1,11,16,15],[0,2,5,9],[0,2,4,8,13],[0,2,4,7,9],[1,11,14,13],[1,10,8,7,9],[0,3,11,16,15],[1,10,14,16,15],[0,3,11,14,13],[1,3,2,6,13],[1,10,6,5,9],[1,3,2,5,9],[1,10,6,4,7,9],[1,10,8,4,5,9],[1,3,2,4,8,13],[1,3,2,4,7,9],[0,3,10,8,7,9],[0,3,10,14,16,15],[0,2,5,7,8,13],[0,2,6,8,7,9],[0,2,6,14,16,15],[0,2,4,8,14,16,15],[0,3,10,6,5,9],[0,3,10,6,4,7,9],[1,11,14,8,7,9],[1,11,18,24,19,15],[0,3,10,8,4,5,9]],
[<0,8>,[1,11],[0,3,11],[1,10,14],[0,3,10,14],[0,2,6,14],[0,2,4,8,14],[1,12,17],[1,12,21,18],[1,10,13,15,16],[1,3,2,6,14],[0,3,12,17],[0,2,6,10,11],[1,3,2,4,8,14],[0,2,4,8,10,11],[0,2,5,7,8,14],[0,3,12,21,18],[0,3,10,13,15,16],[0,2,6,13,15,16],[0,2,5,9,15,16],[0,2,4,7,9,15,16],[0,2,4,8,13,15,16],[0,2,5,9,13,14],[0,2,4,7,9,13,14],[1,3,2,5,7,8,14],[1,12,21,24,19,16],[1,10,8,7,9,15,16],[0,2,5,7,8,10,11],[1,12,22,29,25,18],[1,10,13,15,19,24,18],[1,3,2,6,13,15,16]],
[<0,9>,[1,11,16],[0,3,11,16],[1,10,14,16],[1,10,13,15],[0,3,10,14,16],[0,3,10,13,15],[0,2,6,14,16],[0,2,6,13,15],[0,2,4,8,14,16],[0,2,5,9,15],[0,2,4,8,13,15],[0,2,4,7,9,15],[1,11,18,24,19],[1,11,14,13,15],[1,12,17,16],[1,11,18,24,26,20],[1,10,8,7,9,15],[1,12,21,24,19],[1,12,21,18,16],[0,3,11,18,24,19],[1,10,14,18,24,19],[0,3,11,14,13,15],[0,3,12,17,16],[1,3,2,6,14,16],[0,2,6,10,11,16],[1,3,2,6,13,15],[1,10,6,5,9,15],[1,3,2,4,8,14,16],[1,10,6,4,7,9,15],[1,3,2,5,9,15]],
[<0,10>,[1,12],[1,11,17],[0,3,12],[1,11,18,21],[0,3,11,17],[1,10,14,17],[0,3,11,18,21],[1,10,14,18,21],[0,3,10,14,17],[0,2,6,14,17],[0,2,4,8,14,17],[0,3,10,14,18,21],[0,2,6,14,18,21],[0,2,6,10,12],[0,2,4,8,14,18,21],[0,2,4,8,10,12],[1,11,16,19,24,21],[1,11,18,25,29,22],[1,10,13,15,16,17],[1,3,2,6,14,17],[0,2,6,10,11,17],[1,3,2,4,8,14,17],[0,2,4,8,10,11,17],[1,11,16,20,26,24,21],[0,3,11,16,19,24,21],[0,3,11,18,25,29,22],[1,10,14,16,19,24,21],[1,10,14,18,25,29,22],[1,10,13,15,19,24,21],[0,2,5,7,8,14,17]],
[<0,11>,[1,11,18],[1,12,21],[0,3,11,18],[1,10,14,18],[1,11,17,21],[0,3,12,21],[0,3,10,14,18],[0,2,6,14,18],[0,2,4,8,14,18],[1,11,16,19,24],[0,3,11,17,21],[1,12,17,18],[1,10,14,17,21],[1,11,16,20,26,24],[1,12,22,29,25],[0,3,11,16,19,24],[1,10,14,16,19,24],[1,10,13,15,19,24],[1,3,2,6,14,18],[0,3,10,14,17,21],[0,3,12,17,18],[1,10,13,15,16,18],[0,2,6,10,11,18],[1,3,2,4,8,14,18],[0,2,6,14,17,21],[0,2,4,8,10,11,18],[0,2,4,8,14,17,21],[0,3,11,16,20,26,24],[1,11,17,22,29,25],[1,10,14,16,20,26,24]],
[<0,12>,[1,11,16,19],[1,11,18,24],[1,11,16,20,26],[1,12,21,24],[0,3,11,16,19],[1,10,14,16,19],[0,3,11,18,24],[1,10,14,18,24],[1,10,13,15,19],[0,3,11,16,20,26],[1,11,17,21,24],[1,10,14,16,20,26],[0,3,12,21,24],[1,10,13,15,20,26],[0,3,10,14,16,19],[0,3,10,14,18,24],[0,3,10,13,15,19],[0,2,6,14,16,19],[0,2,6,14,18,24],[0,2,6,13,15,19],[0,2,4,8,14,16,19],[0,2,5,9,15,19],[0,2,4,8,14,18,24],[0,2,4,8,13,15,19],[0,2,4,7,9,15,19],[1,11,18,25,32,27],[1,11,14,13,15,19],[1,12,17,16,19],[0,3,11,17,21,24],[0,3,10,14,16,20,26]],
[<0,13>,[1,11,16,20],[1,11,16,19,26],[0,3,11,16,20],[1,11,18,24,26],[1,10,14,16,20],[1,10,13,15,20],[1,12,21,24,26],[0,3,11,16,19,26],[0,3,11,18,24,26],[1,10,14,16,19,26],[0,3,10,14,16,20],[1,10,14,18,24,26],[1,10,13,15,19,26],[0,3,10,13,15,20],[0,2,6,14,16,20],[0,2,6,13,15,20],[0,2,4,8,14,16,20],[0,2,5,9,15,20],[0,2,4,8,13,15,20],[0,2,4,7,9,15,20],[1,11,18,24,19,20],[1,11,14,13,15,20],[1,12,17,16,20],[1,11,17,21,24,26],[0,3,12,21,24,26],[0,3,10,14,16,19,26],[0,3,10,14,18,24,26],[0,3,10,13,15,19,26],[0,2,6,14,16,19,26],[0,2,6,14,18,24,26]],
[<0,14>,[1,12,22],[1,11,18,25,29],[1,11,17,22],[0,3,12,22],[1,12,21,25,29],[1,11,18,21,22],[0,3,11,18,25,29],[1,10,14,18,25,29],[0,3,11,17,22],[1,10,14,17,22],[1,11,18,25,33,31],[1,11,17,21,25,29],[0,3,12,21,25,29],[0,3,11,18,21,22],[1,10,14,18,21,22],[0,3,10,14,18,25,29],[0,3,10,14,17,22],[0,2,6,14,18,25,29],[1,12,21,25,33,31],[0,2,6,14,17,22],[0,2,4,8,14,18,25,29],[1,11,16,19,27,32,29],[1,11,18,24,27,32,29],[0,2,4,8,14,17,22],[0,3,11,18,25,33,31],[1,11,16,19,24,25,29],[1,10,14,18,25,33,31],[0,3,11,17,21,25,29],[1,11,18,25,32,35,31],[1,12,17,18,25,29]],
[<0,15>,[1,11,18,25],[1,12,22,29],[1,12,21,25],[0,3,11,18,25],[1,10,14,18,25],[1,11,17,22,29],[1,11,17,21,25],[0,3,12,22,29],[0,3,12,21,25],[0,3,10,14,18,25],[0,2,6,14,18,25],[1,11,18,21,22,29],[0,2,4,8,14,18,25],[1,12,22,31,33],[1,11,16,19,27,32],[1,11,18,24,27,32],[1,11,16,19,24,25],[0,3,11,17,22,29],[0,3,11,17,21,25],[1,12,17,18,25],[1,10,14,17,22,29],[1,10,14,17,21,25],[1,11,16,20,26,27,32],[1,12,21,24,27,32],[1,11,17,22,31,33],[1,11,16,20,26,24,25],[0,3,11,18,21,22,29],[0,3,12,22,31,33],[1,10,14,18,21,22,29],[0,3,11,16,19,27,32]],
[<0,16>,[1,11,18,25,32],[1,11,16,19,27],[1,11,18,24,27],[1,12,22,29,32],[1,12,21,25,32],[0,3,11,18,25,32],[1,11,16,20,26,27],[1,10,14,18,25,32],[1,11,18,25,33,35],[1,12,21,24,27],[0,3,11,16,19,27],[1,12,22,31,35],[0,3,11,18,24,27],[1,10,14,16,19,27],[1,11,16,20,28,34],[1,10,14,18,24,27],[1,10,13,15,19,27],[1,11,17,22,29,32],[1,11,17,21,25,32],[0,3,12,22,29,32],[0,3,12,21,25,32],[1,12,22,29,33,35],[1,12,21,25,33,35],[0,3,11,16,20,26,27],[0,3,10,14,18,25,32],[0,3,11,18,25,33,35],[1,11,18,25,33,41,36],[1,11,17,21,24,27],[1,10,14,16,20,26,27],[1,10,14,18,25,33,35]],
[<0,17>,[1,11,16,20,28],[1,11,18,25,32,34],[1,11,16,19,26,28],[0,3,11,16,20,28],[1,10,14,16,20,28],[1,11,16,19,27,34],[1,11,18,24,26,28],[1,10,13,15,20,28],[1,11,18,24,27,34],[1,12,22,29,32,34],[1,12,21,25,32,34],[0,3,11,18,25,32,34],[1,11,16,20,26,27,34],[1,10,14,18,25,32,34],[1,11,18,25,33,35,34],[1,12,21,24,26,28],[1,12,21,24,27,34],[0,3,11,16,19,26,28],[0,3,10,14,16,20,28],[1,10,14,16,19,26,28],[0,3,11,16,19,27,34],[0,3,11,18,24,26,28],[1,10,13,15,19,26,28],[1,12,22,31,35,34],[0,3,10,13,15,20,28],[1,10,14,16,19,27,34],[1,10,14,18,24,26,28],[0,3,11,18,24,27,34],[1,10,13,15,19,27,34],[1,10,14,18,24,27,34]],
[<0,18>,[1,12,23],[1,11,17,23],[0,3,12,23],[1,12,22,30,38],[1,11,18,21,23],[0,3,11,17,23],[1,10,14,17,23],[1,11,18,25,33,40,39,38],[1,11,18,25,29,30,38],[1,11,17,22,30,38],[1,12,22,31,40,39,38],[0,3,12,22,30,38],[0,3,11,18,21,23],[1,10,14,18,21,23],[0,3,10,14,17,23],[1,12,21,25,33,40,39,38],[1,12,22,29,33,40,39,38],[0,2,6,14,17,23],[1,11,18,21,22,30,38],[1,12,21,25,29,30,38],[0,3,11,18,25,33,40,39,38],[1,11,18,25,29,31,40,39,38],[0,2,4,8,14,17,23],[1,10,14,18,25,33,40,39,38],[1,11,18,25,32,35,40,39,38],[0,3,11,18,25,29,30,38],[1,11,17,22,31,40,39,38],[1,10,14,18,25,29,30,38],[0,3,11,17,22,30,38],[0,3,12,22,31,40,39,38]],
[<0,19>,[1,12,22,30],[1,11,18,25,33,40,39],[1,11,18,25,29,30],[1,12,22,31,40,39],[1,11,17,22,30],[0,3,12,22,30],[1,12,21,25,33,40,39],[1,12,22,29,33,40,39],[1,11,18,21,22,30],[1,12,23,38],[1,12,21,25,29,30],[0,3,11,18,25,33,40,39],[1,10,14,18,25,33,40,39],[1,11,18,25,29,31,40,39],[1,11,18,25,32,35,40,39],[0,3,11,18,25,29,30],[1,11,17,22,31,40,39],[1,10,14,18,25,29,30],[0,3,12,22,31,40,39],[0,3,11,17,22,30],[1,10,14,17,22,30],[1,11,16,19,27,35,40,39],[1,11,18,24,27,35,40,39],[1,11,18,25,33,31,30],[1,11,17,22,29,33,40,39],[1,11,17,21,25,33,40,39],[0,3,12,21,25,33,40,39],[0,3,12,22,29,33,40,39],[1,11,18,21,22,31,40,39],[1,11,17,21,25,29,30]],
[<0,20>,[1,11,18,25,33,40],[1,12,22,31,40],[1,12,22,29,33,40],[1,12,21,25,33,40],[0,3,11,18,25,33,40],[1,11,18,25,29,31,40],[1,10,14,18,25,33,40],[1,11,18,25,32,35,40],[1,11,17,22,31,40],[1,12,22,30,39],[0,3,12,22,31,40],[1,11,16,19,27,35,40],[1,11,18,24,27,35,40],[1,11,17,22,29,33,40],[1,11,17,21,25,33,40],[0,3,12,22,29,33,40],[0,3,12,21,25,33,40],[1,12,21,25,29,31,40],[1,11,18,21,22,31,40],[1,12,22,29,32,35,40],[1,12,21,25,32,35,40],[1,11,18,25,29,30,39],[0,3,11,18,25,29,31,40],[0,3,10,14,18,25,33,40],[1,10,14,18,25,29,31,40],[0,3,11,18,25,32,35,40],[1,11,17,22,30,39],[1,11,18,25,32,36,41,40],[0,3,11,17,22,31,40],[0,3,12,22,30,39]],
[<0,21>,[1,11,18,25,33],[1,12,22,31],[1,12,22,29,33],[1,12,21,25,33],[0,3,11,18,25,33],[1,11,18,25,29,31],[1,10,14,18,25,33],[1,11,18,25,32,35],[1,11,17,22,31],[0,3,12,22,31],[1,11,16,19,27,35],[1,11,18,24,27,35],[1,11,17,22,29,33],[1,11,17,21,25,33],[0,3,12,22,29,33],[0,3,12,21,25,33],[1,12,21,25,29,31],[1,11,18,21,22,31],[1,12,22,29,32,35],[1,12,21,25,32,35],[1,12,22,30,39,40],[0,3,11,18,25,29,31],[0,3,10,14,18,25,33],[1,10,14,18,25,29,31],[0,3,11,18,25,32,35],[1,11,18,25,32,36,41],[0,3,11,17,22,31],[1,10,14,18,25,32,35],[1,11,16,20,26,27,35],[0,2,6,14,18,25,33]],
[<0,22>,[1,11,18,25,33,41],[1,12,22,31,41],[1,11,18,25,32,36],[1,12,22,29,33,41],[1,12,21,25,33,41],[1,11,16,19,27,36],[1,11,18,24,27,36],[0,3,11,18,25,33,41],[1,10,14,18,25,33,41],[1,11,18,25,29,31,41],[1,11,18,25,32,35,41],[1,11,17,22,31,41],[0,3,12,22,31,41],[1,12,22,29,32,36],[1,12,21,25,32,36],[1,11,16,19,27,35,41],[1,11,18,24,27,35,41],[0,3,11,18,25,32,36],[1,11,16,20,26,27,36],[1,10,14,18,25,32,36],[1,11,18,25,33,35,36],[1,12,21,24,27,36],[1,11,17,21,25,33,41],[1,11,17,22,29,33,41],[0,3,12,22,29,33,41],[0,3,12,21,25,33,41],[1,11,18,21,22,31,41],[1,12,21,25,29,31,41],[0,3,11,16,19,27,36],[1,12,22,31,35,36]],
[<0,23>,[1,11,16,20,28,37],[1,11,18,25,33,41,42],[1,12,22,31,41,42],[1,11,18,25,32,34,37],[1,11,16,19,26,28,37],[1,11,18,25,32,36,42],[0,3,11,16,20,28,37],[1,11,18,24,26,28,37],[1,10,14,16,20,28,37],[1,11,16,19,27,34,37],[1,11,18,24,27,34,37],[1,10,13,15,20,28,37],[1,12,22,29,33,41,42],[1,12,21,25,33,41,42],[1,11,16,19,27,36,42],[1,11,18,24,27,36,42],[0,3,11,18,25,33,41,42],[1,11,18,25,29,31,41,42],[1,12,21,25,32,34,37],[1,10,14,18,25,33,41,42],[1,12,22,29,32,34,37],[1,11,18,25,32,35,41,42],[1,11,17,22,31,41,42],[0,3,12,22,31,41,42],[0,3,11,18,25,32,34,37],[1,11,16,20,26,27,34,37],[1,10,14,18,25,32,34,37],[1,12,22,29,32,36,42],[1,12,21,25,32,36,42],[1,11,18,25,33,35,34,37]],
[<1,2>,[2],[3,10,6],[3,10,8,4],[0,1,10,6],[0,1,10,8,4],[3,11,14,6],[3,11,14,8,4],[3,10,8,7,5],[0,1,11,14,6],[0,1,11,14,8,4],[3,10,13,9,5],[3,10,13,9,7,4],[0,1,10,8,7,5],[3,11,14,8,7,5],[0,1,10,13,9,5],[3,11,16,15,13,6],[0,1,10,13,9,7,4],[3,12,17,14,6],[3,11,16,15,9,5],[3,11,16,15,13,8,4],[3,11,16,15,9,7,4],[3,12,17,14,8,4],[3,11,14,13,9,5],[3,11,14,13,9,7,4],[0,1,11,14,8,7,5],[3,12,21,18,14,6],[3,12,21,18,14,8,4],[0,1,11,16,15,13,6],[3,10,14,16,15,9,5],[0,1,12,17,14,6]],
[<1,3>,[2,4],[3,10,8],[2,5,7],[2,6,8],[3,10,6,4],[0,1,10,8],[3,11,14,8],[0,1,10,6,4],[3,11,14,6,4],[3,10,6,5,7],[0,1,11,14,8],[3,10,13,9,7],[2,6,13,9,7],[0,1,11,14,6,4],[2,5,9,13,8],[3,10,13,9,5,4],[0,1,10,6,5,7],[0,1,10,13,9,7],[3,11,14,6,5,7],[3,11,16,15,9,7],[3,11,16,15,13,8],[3,12,17,14,8],[3,11,14,13,9,7],[0,1,10,13,9,5,4],[3,11,16,15,13,6,4],[3,11,16,15,9,5,4],[3,12,17,14,6,4],[3,12,21,18,14,8],[3,11,14,13,9,5,4],[0,1,11,14,6,5,7]],
[<1,4>,[2,5],[2,4,7],[3,10,8,7],[2,6,8,7],[3,10,6,5],[3,10,6,4,7],[3,10,8,4,5],[3,10,13,9],[0,1,10,8,7],[2,6,13,9],[2,4,8,13,9],[3,11,14,8,7],[0,1,10,6,5],[0,1,10,6,4,7],[0,1,10,8,4,5],[3,11,14,6,5],[0,1,10,13,9],[3,11,14,6,4,7],[3,11,14,8,4,5],[3,11,16,15,9],[3,11,14,13,9],[0,1,11,14,8,7],[0,1,11,14,6,5],[3,10,14,16,15,9],[0,1,11,14,6,4,7],[0,1,11,14,8,4,5],[0,1,11,16,15,9],[2,6,14,16,15,9],[2,4,8,14,16,15,9],[0,1,11,14,13,9]],
[<1,5>,[3],[0,1],[2,6,10],[2,4,8,10],[2,6,14,11],[2,4,8,14,11],[2,5,7,8,10],[2,5,9,13,10],[2,4,7,9,13,10],[2,5,7,8,14,11],[2,6,13,15,16,11],[2,6,14,17,12],[2,5,9,15,16,11],[2,4,8,13,15,16,11],[2,4,7,9,15,16,11],[2,4,8,14,17,12],[2,5,9,13,14,11],[2,4,7,9,13,14,11],[2,6,14,18,21,12],[2,4,8,14,18,21,12],[2,5,9,15,16,14,10],[2,4,7,9,15,16,14,10],[2,5,7,8,13,15,16,11],[2,5,7,8,14,17,12],[2,6,8,7,9,15,16,11],[2,6,13,15,19,24,18,11],[2,5,9,15,19,24,18,11],[2,4,8,13,15,19,24,18,11],[2,4,7,9,15,19,24,18,11],[2,6,13,15,16,17,12]],
[<1,6>,[3,10],[2,6],[2,4,8],[0,1,10],[3,11,14],[2,5,7,8],[0,1,11,14],[2,5,9,13],[2,4,7,9,13],[3,11,16,15,13],[3,12,17,14],[3,12,21,18,14],[0,1,11,16,15,13],[0,1,12,17,14],[2,5,9,15,16,14],[2,4,7,9,15,16,14],[0,1,12,21,18,14],[3,11,16,15,9,7,8],[3,11,18,24,19,15,13],[3,11,16,15,9,5,6],[3,12,17,16,15,13],[3,11,16,15,9,7,4,6],[3,11,16,15,9,5,4,8],[2,5,9,15,16,11,10],[2,4,7,9,15,16,11,10],[3,12,21,24,19,16,14],[3,11,18,24,26,20,15,13],[3,12,22,29,25,18,14],[3,12,21,24,19,15,13],[0,1,11,16,15,9,7,8]],
